NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
!AIVDM,3,1,0,A,604759MVhkO804003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*48|!AIVDM,3,2,0,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5F|!AIVDM,3,3,0,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1C|6|0|4310309|3|431017458|0|1|0|
!AIVDM,3,1,1,A,604759IVhRsn04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*1E|!AIVDM,3,2,1,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5E|!AIVDM,3,3,1,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1D|6|0|4310309|2|431000509|1|1|0|
!AIVDM,3,1,2,A,604759AVhTpF04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*38|!AIVDM,3,2,2,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5D|!AIVDM,3,3,2,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1E|6|0|4310309|0|431002501|1|1|0|
!AIVDM,3,1,4,A,604759EVhaEN04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*32|!AIVDM,3,2,4,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5B|!AIVDM,3,3,4,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*18|6|0|4310309|1|431007063|1|1|0|
!AIVDM,3,1,8,A,604759IVhRsn04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*17|!AIVDM,3,2,8,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*57|!AIVDM,3,3,8,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*14|6|0|4310309|2|431000509|1|1|0|
!AIVDM,3,1,9,A,604759AVhTpF04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*33|!AIVDM,3,2,9,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*56|!AIVDM,3,3,9,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*15|6|0|4310309|0|431002501|1|1|0|
!AIVDM,3,1,3,A,604759EVhaEN04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*35|!AIVDM,3,2,3,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5C|!AIVDM,3,3,3,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1F|6|0|4310309|1|431007063|1|1|0|
!AIVDM,3,1,4,A,604759MVhRsl04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*1D|!AIVDM,3,2,4,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5B|!AIVDM,3,3,4,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*18|6|0|4310309|3|431000509|0|1|0|
!AIVDM,3,1,7,A,604759MVhRsn04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*1C|!AIVDM,3,2,7,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*58|!AIVDM,3,3,7,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1B|6|0|4310309|3|431000509|1|1|0|
!AIVDM,3,1,8,A,604759IVhiHH04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*31|!AIVDM,3,2,8,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*57|!AIVDM,3,3,8,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*14|6|0|4310309|2|431015302|0|1|0|
